#{"t_start": 1780401903.7623403, "env_id": "None"}
r,l,t
-301.5022,23,102.16943
-268.1468,23,102.236202
-284.22852,41,102.364736
-282.39377,23,102.454086
-268.11148,27,102.541572
-265.49878,20,102.601609
-271.8194,18,102.66819
-266.5304,10,102.699908
-276.1488,28,102.776863
-267.21426,25,102.846435
-266.3426,14,102.889924
-288.0853,18,102.948596
-270.25443,25,103.024642
-269.4453,29,104.128811
-322.62836,38,104.262561
-291.84518,18,104.32751
-271.98697,40,104.461615
-160.67188,49,104.630206
-60.34459,24,104.71145
-268.47003,18,104.775815
-279.3762,31,104.88683
-271.56073,13,104.932205
-265.00677,21,105.012317
-107.24255,49,105.165905
-328.13748,37,105.271289
-267.18332,48,105.406658
-290.41238,36,105.509882
-99.29775,31,105.597887
-306.92996,12,105.635085
-256.43512,14,105.676304
-270.37885,15,105.720719
-267.31686,25,106.898966
-301.37576,21,106.974799
-155.46753,50,107.117686
-267.26578,25,107.194515
-282.16382,33,107.303827
-267.93875,16,107.349246
-259.00812,39,107.464791
-291.18964,49,107.651587
-281.7924,31,107.744947
-255.92416,46,107.895922
-256.4107,21,107.964865
-277.48413,18,108.037925
-264.18542,28,108.128644
-266.21625,11,108.164657
-276.7283,12,108.204775
-269.11057,24,108.27811
-259.74445,33,108.372365
-224.2977,46,109.525995
-270.95343,9,109.564441
-281.2316,38,109.726165
-256.65353,17,109.789076
-285.30466,46,109.949439
-277.23068,34,110.065543
-257.98975,20,110.138075
-273.76312,45,110.323112
-326.12433,26,110.417558
-299.9507,25,110.508837
-332.94208,42,110.638325
-256.08667,11,110.672493
-268.79602,28,110.755748
-265.87854,22,110.821724
-282.07382,14,110.870908
-320.67923,32,110.981531
-316.6028,15,111.040861
-283.6996,44,111.172645
-287.14948,19,111.237603
-279.18542,27,112.388502
-270.95862,37,112.508936
-262.21396,21,112.586117
-258.52402,21,112.645749
-276.82532,23,112.708835
-279.0815,51,112.850353
-162.48125,19,112.905502
-279.7723,36,113.000719
-115.43561,32,113.087961
-151.79572,24,113.15143
-274.61496,35,113.259874
-290.81906,32,113.352761
-281.45438,32,113.454678
-297.92065,44,113.629181
-261.2108,23,113.696463
-266.7164,22,113.764801
-273.63467,54,115.060968
-57.437473,33,115.168162
-158.36589,24,115.260752
-280.87183,30,115.365026
-280.02112,25,115.469192
-259.24008,28,115.565278
-254.21931,19,115.639819
-317.2812,27,115.744089
-272.89594,29,115.837622
-273.2534,26,115.926384
-262.5847,26,116.010819
-307.63922,14,116.053641
-272.6337,35,116.152285
-267.91293,20,116.21734
-274.89224,41,116.350124
-318.50558,26,116.432334
-258.7669,30,116.531432
-282.25195,34,116.634138
-266.54498,9,116.660461
-353.0304,27,117.762353
-282.86157,35,117.931058
-269.4175,32,118.047265
-271.3624,18,118.11109
-262.95657,41,118.258469
-260.96378,38,118.378011
-282.86746,20,118.44421
-316.6556,32,118.540044
-319.6564,32,118.634815
-329.69302,37,118.751338
-276.90112,19,118.80153
-268.90295,42,118.908927
-280.18658,37,119.015952
-280.93842,39,119.131607
-155.78093,37,119.234537
-268.9585,36,119.336623
-268.85583,36,120.542212
-159.2054,27,120.639724
-276.98862,17,120.696517
-269.67255,41,120.815423
-277.5622,17,120.874619
-281.70483,46,121.028933
-274.6588,37,121.154861
-269.5384,21,121.224218
-269.68124,31,121.324551
-164.07321,45,121.466226
-273.89365,33,121.561549
-287.32086,45,121.707031
-107.1665,26,121.781769
-274.50677,43,121.917502
-270.62473,42,122.042549
-304.0466,56,123.219698
-294.57153,42,123.354423
-296.3305,33,123.465581
-257.2461,27,123.55357
-281.318,56,123.722012
-270.0642,31,123.807102
-303.7256,36,123.906308
-279.00464,31,123.995872
-276.71262,28,124.081065
-290.08212,39,124.187987
-275.02512,41,124.303519
-271.28903,16,124.353809
-334.8015,34,124.475836
-327.9053,63,125.767942
-297.1207,36,125.914167
-259.8543,43,126.061695
-147.55588,40,126.191849
-257.40085,24,126.264748
-279.042,36,126.374037
-110.78048,37,126.485086
-263.1112,37,126.60381
-292.42334,55,126.763527
-271.51825,37,126.874201
-311.76508,32,127.004636
-272.90076,42,127.138537
